id_venda,data_venda,id_loja,id_vendedor,id_cliente,id_produto,quantidade,valor_bruto,desconto,valor_liquido,custo_total,status
41,2025-08-06,5,12,161,115,2,1034.26,0.0,1034.26,582.88,Concluída
42,2025-02-13,1,13,236,110,1,153.35,0.0,153.35,76.82,Concluída
43,2025-08-19,2,2,377,113,1,644.98,0.0,644.98,381.24,Concluída
44,2025-08-15,1,13,368,115,1,517.13,25.86,491.27,291.44,Concluída
45,2025-11-26,1,13,949,104,1,2804.45,0.0,2804.45,1695.62,Concluída
46,2025-04-13,1,13,257,105,2,2694.2,134.71,2559.49,1716.04,Concluída
47,2025-04-08,3,4,876,113,2,1289.96,0.0,1289.96,762.48,Concluída
48,2025-06-03,1,13,802,107,3,429.09,21.45,407.64,268.89,Concluída
49,2025-01-07,2,3,780,103,3,623.22,0.0,623.22,399.72,Concluída
50,2025-04-18,2,3,602,113,1,644.98,0.0,644.98,381.24,Concluída
51,2025-06-24,4,8,867,104,1,2804.45,280.44,2524.01,1695.62,Concluída
52,2025-08-13,2,3,31,106,1,137.92,13.79,124.13,73.42,Concluída
53,2025-01-05,2,3,855,106,1,137.92,0.0,137.92,73.42,Concluída
54,2025-07-26,4,9,551,105,1,1347.1,0.0,1347.1,858.02,Concluída
55,2025-03-13,1,13,582,111,2,6267.26,626.73,5640.53,3225.52,Concluída
56,2025-07-20,5,10,972,107,1,143.03,0.0,143.03,89.63,Concluída
57,2025-06-18,2,2,655,115,1,517.13,0.0,517.13,291.44,Concluída
58,2025-04-01,1,13,28,103,1,207.74,20.77,186.97,133.24,Concluída
59,2025-04-16,1,13,466,101,1,3176.69,0.0,3176.69,2004.75,Concluída
60,2025-07-30,1,13,133,109,1,438.81,21.94,416.87,291.96,Concluída
61,2025-04-16,1,13,318,107,2,286.06,14.3,271.76,179.26,Concluída
62,2025-10-22,5,12,208,109,2,877.62,0.0,877.62,583.92,Concluída
63,2025-03-15,2,2,620,113,1,644.98,0.0,644.98,381.24,Concluída
64,2025-09-09,2,3,41,112,1,2629.26,0.0,2629.26,1399.55,Cancelada
65,2025-06-27,3,6,812,105,1,1347.1,67.36,1279.74,858.02,Concluída
66,2025-08-01,1,13,469,107,3,429.09,0.0,429.09,268.89,Concluída
67,2025-07-21,3,4,246,115,3,1551.39,0.0,1551.39,874.32,Concluída
68,2025-05-30,3,4,715,112,2,5258.52,0.0,5258.52,2799.1,Concluída
69,2025-10-11,1,13,79,113,1,644.98,32.25,612.73,381.24,Concluída
70,2025-08-19,1,13,519,101,1,3176.69,0.0,3176.69,2004.75,Concluída
71,2025-08-25,1,13,877,104,1,2804.45,0.0,2804.45,1695.62,Concluída
72,2025-03-11,1,13,497,108,1,424.26,0.0,424.26,191.74,Concluída
73,2025-08-13,1,13,862,103,1,207.74,0.0,207.74,133.24,Concluída
74,2025-05-31,1,13,173,102,2,8087.66,0.0,8087.66,3783.66,Concluída
75,2025-08-14,1,13,732,101,3,9530.07,0.0,9530.07,6014.25,Concluída
76,2025-01-25,4,9,657,111,2,6267.26,626.73,5640.53,3225.52,Concluída
77,2025-06-07,2,3,5,101,2,6353.38,317.67,6035.71,4009.5,Cancelada
78,2025-07-11,5,10,94,101,1,3176.69,476.5,2700.19,2004.75,Concluída
79,2025-04-09,3,4,226,115,1,517.13,25.86,491.27,291.44,Concluída
80,2025-03-27,1,13,836,106,1,137.92,0.0,137.92,73.42,Concluída
81,2025-10-05,1,13,124,104,1,2804.45,0.0,2804.45,1695.62,Concluída
82,2025-07-25,3,4,399,104,1,2804.45,0.0,2804.45,1695.62,Concluída
83,2025-11-29,3,4,69,115,1,517.13,0.0,517.13,291.44,Concluída
84,2025-02-22,3,6,176,105,4,5388.4,0.0,5388.4,3432.08,Devolvida
85,2025-12-23,1,13,341,103,2,415.48,41.55,373.93,266.48,Concluída
86,2025-12-08,2,2,19,110,3,460.05,0.0,460.05,230.46,Concluída
87,2025-04-30,2,3,14,104,1,2804.45,140.22,2664.23,1695.62,Concluída
88,2025-05-02,3,4,635,102,1,4043.83,0.0,4043.83,1891.83,Concluída
89,2025-03-19,1,13,244,115,2,1034.26,155.14,879.12,582.88,Concluída
90,2025-06-18,1,13,660,113,2,1289.96,0.0,1289.96,762.48,Devolvida
91,2025-11-28,4,7,235,114,2,881.9,0.0,881.9,542.46,Concluída
92,2025-01-28,5,12,255,113,2,1289.96,64.5,1225.46,762.48,Concluída
93,2025-07-15,2,1,453,111,1,3133.63,313.36,2820.27,1612.76,Concluída
94,2025-04-09,1,13,961,104,1,2804.45,0.0,2804.45,1695.62,Concluída
95,2025-04-15,1,13,437,112,1,2629.26,0.0,2629.26,1399.55,Concluída
96,2025-08-06,1,13,311,105,1,1347.1,202.06,1145.04,858.02,Concluída
97,2025-09-04,1,13,408,107,1,143.03,0.0,143.03,89.63,Concluída
98,2025-08-10,4,8,21,113,1,644.98,64.5,580.48,381.24,Concluída
99,2025-06-03,3,4,567,112,1,2629.26,0.0,2629.26,1399.55,Concluída
100,2025-05-26,1,13,74,106,1,137.92,0.0,137.92,73.42,Concluída
101,2025-04-08,1,13,504,107,3,429.09,42.91,386.18,268.89,Devolvida
102,2025-07-11,1,13,657,110,1,153.35,15.34,138.01,76.82,Devolvida
103,2025-03-05,1,13,199,113,1,644.98,0.0,644.98,381.24,Cancelada
104,2025-06-28,2,2,651,112,1,2629.26,0.0,2629.26,1399.55,Concluída
105,2025-08-06,3,4,490,101,3,9530.07,0.0,9530.07,6014.25,Concluída
106,2025-01-15,3,6,152,105,2,2694.2,269.42,2424.78,1716.04,Concluída
107,2025-05-07,3,6,862,103,1,207.74,10.39,197.35,133.24,Concluída
108,2025-07-16,1,13,531,115,1,517.13,0.0,517.13,291.44,Concluída
109,2025-05-10,3,6,991,109,2,877.62,0.0,877.62,583.92,Concluída
110,2025-07-30,4,9,891,102,1,4043.83,0.0,4043.83,1891.83,Concluída
111,2025-03-15,1,13,953,112,1,2629.26,0.0,2629.26,1399.55,Devolvida
112,2025-09-09,1,13,793,112,1,2629.26,0.0,2629.26,1399.55,Concluída
113,2025-08-09,1,13,191,112,1,2629.26,0.0,2629.26,1399.55,Concluída
114,2025-02-26,2,1,191,104,1,2804.45,0.0,2804.45,1695.62,Concluída
115,2025-05-13,5,11,452,111,3,9400.89,0.0,9400.89,4838.28,Concluída
116,2025-02-10,1,13,128,105,1,1347.1,0.0,1347.1,858.02,Concluída
117,2025-09-06,3,4,10,101,1,3176.69,476.5,2700.19,2004.75,Concluída
118,2025-01-22,1,13,385,110,1,153.35,23.0,130.35,76.82,Concluída
119,2025-09-06,2,2,619,107,1,143.03,7.15,135.88,89.63,Concluída
120,2025-06-11,4,8,682,107,1,143.03,0.0,143.03,89.63,Concluída
121,2025-06-19,4,7,468,114,2,881.9,44.09,837.81,542.46,Concluída
122,2025-03-13,1,13,890,109,1,438.81,21.94,416.87,291.96,Concluída
123,2025-07-08,2,3,675,114,1,440.95,0.0,440.95,271.23,Concluída
124,2025-11-23,5,11,18,111,1,3133.63,0.0,3133.63,1612.76,Concluída
125,2025-06-16,3,4,622,108,1,424.26,0.0,424.26,191.74,Concluída
126,2025-08-08,5,11,675,114,2,881.9,0.0,881.9,542.46,Concluída
127,2025-11-07,1,13,891,109,3,1316.43,65.82,1250.61,875.88,Concluída
128,2025-01-17,1,13,309,114,2,881.9,0.0,881.9,542.46,Concluída
129,2025-03-28,5,10,494,111,1,3133.63,0.0,3133.63,1612.76,Concluída
130,2025-12-04,3,4,446,112,1,2629.26,262.93,2366.33,1399.55,Concluída
131,2025-07-16,4,7,737,105,2,2694.2,404.13,2290.07,1716.04,Concluída
132,2025-12-07,1,13,93,113,2,1289.96,129.0,1160.96,762.48,Cancelada
133,2025-11-04,1,13,387,115,2,1034.26,51.71,982.55,582.88,Concluída
134,2025-11-25,4,8,828,104,1,2804.45,0.0,2804.45,1695.62,Concluída
135,2025-02-15,1,13,763,102,1,4043.83,0.0,4043.83,1891.83,Concluída
136,2025-07-14,2,1,319,101,1,3176.69,0.0,3176.69,2004.75,Concluída
137,2025-08-05,1,13,817,111,3,9400.89,0.0,9400.89,4838.28,Concluída
138,2025-10-30,1,13,10,109,3,1316.43,0.0,1316.43,875.88,Concluída
139,2025-06-01,4,8,697,108,1,424.26,0.0,424.26,191.74,Concluída
140,2025-12-26,1,13,317,109,5,2194.05,0.0,2194.05,1459.8,Devolvida
141,2025-12-28,2,3,849,104,1,2804.45,140.22,2664.23,1695.62,Concluída
142,2025-06-20,1,13,869,112,3,7887.78,0.0,7887.78,4198.65,Concluída
143,2025-04-02,4,9,402,105,5,6735.5,336.78,6398.72,4290.1,Concluída
144,2025-01-12,2,2,433,111,1,3133.63,0.0,3133.63,1612.76,Concluída
145,2025-02-06,2,2,290,112,3,7887.78,394.39,7493.39,4198.65,Concluída
146,2025-02-19,1,13,871,115,2,1034.26,0.0,1034.26,582.88,Concluída
147,2025-03-12,2,2,299,115,1,517.13,0.0,517.13,291.44,Concluída
148,2025-11-30,1,13,695,113,5,3224.9,0.0,3224.9,1906.2,Cancelada
149,2025-08-07,3,4,949,101,1,3176.69,476.5,2700.19,2004.75,Concluída
150,2025-01-27,1,13,608,107,4,572.12,0.0,572.12,358.52,Concluída
151,2025-01-18,1,13,501,105,2,2694.2,404.13,2290.07,1716.04,Concluída
152,2025-07-12,4,9,675,102,2,8087.66,808.77,7278.89,3783.66,Concluída
153,2025-05-21,3,5,377,101,1,3176.69,0.0,3176.69,2004.75,Concluída
154,2025-12-09,5,10,24,110,1,153.35,0.0,153.35,76.82,Concluída
155,2025-02-18,4,7,394,108,5,2121.3,106.07,2015.23,958.7,Concluída
156,2025-03-06,1,13,731,115,3,1551.39,0.0,1551.39,874.32,Concluída
157,2025-12-25,1,13,66,109,2,877.62,0.0,877.62,583.92,Concluída
158,2025-11-30,1,13,989,111,3,9400.89,0.0,9400.89,4838.28,Concluída
159,2025-04-03,1,13,820,106,1,137.92,0.0,137.92,73.42,Concluída
160,2025-03-24,1,13,872,113,1,644.98,96.75,548.23,381.24,Concluída
161,2025-07-06,5,10,434,111,1,3133.63,0.0,3133.63,1612.76,Cancelada
162,2025-09-23,5,11,675,109,1,438.81,0.0,438.81,291.96,Concluída
163,2025-09-25,5,11,621,109,1,438.81,21.94,416.87,291.96,Concluída
164,2025-01-23,1,13,146,105,3,4041.3,0.0,4041.3,2574.06,Concluída
165,2025-10-10,1,13,285,103,2,415.48,0.0,415.48,266.48,Concluída
166,2025-05-14,1,13,410,108,1,424.26,0.0,424.26,191.74,Concluída
167,2025-12-22,1,13,73,111,2,6267.26,940.09,5327.17,3225.52,Concluída
168,2025-04-09,3,6,674,111,2,6267.26,0.0,6267.26,3225.52,Concluída
169,2025-03-20,1,13,389,101,4,12706.76,0.0,12706.76,8019.0,Concluída
170,2025-09-30,1,13,68,106,2,275.84,0.0,275.84,146.84,Concluída
171,2025-05-20,1,13,281,101,1,3176.69,476.5,2700.19,2004.75,Concluída
172,2025-02-23,4,7,180,109,2,877.62,0.0,877.62,583.92,Concluída
173,2025-09-08,1,13,718,110,3,460.05,0.0,460.05,230.46,Concluída
174,2025-01-25,1,13,186,106,2,275.84,13.79,262.05,146.84,Concluída
175,2025-10-10,3,5,489,110,1,153.35,0.0,153.35,76.82,Concluída
176,2025-03-21,3,4,388,110,2,306.7,0.0,306.7,153.64,Concluída
177,2025-07-09,3,4,695,110,1,153.35,0.0,153.35,76.82,Concluída
178,2025-07-01,4,9,294,105,4,5388.4,0.0,5388.4,3432.08,Concluída
179,2025-04-28,1,13,971,105,1,1347.1,0.0,1347.1,858.02,Concluída
180,2025-02-10,1,13,968,102,1,4043.83,0.0,4043.83,1891.83,Concluída
181,2025-10-11,5,10,986,107,2,286.06,28.61,257.45,179.26,Concluída
182,2025-09-12,2,3,910,109,2,877.62,0.0,877.62,583.92,Concluída
183,2025-01-04,3,6,548,112,1,2629.26,394.39,2234.87,1399.55,Concluída
184,2025-09-28,3,4,622,108,4,1697.04,84.85,1612.19,766.96,Concluída
185,2025-09-26,5,10,77,106,2,275.84,0.0,275.84,146.84,Cancelada
186,2025-08-05,2,1,383,102,1,4043.83,202.19,3841.64,1891.83,Concluída
187,2025-03-02,1,13,301,105,1,1347.1,67.36,1279.74,858.02,Concluída
188,2025-04-22,5,12,528,114,3,1322.85,132.28,1190.57,813.69,Cancelada
189,2025-09-07,1,13,631,108,1,424.26,0.0,424.26,191.74,Concluída
190,2025-04-06,2,1,104,107,1,143.03,0.0,143.03,89.63,Concluída
191,2025-03-20,2,2,8,103,2,415.48,0.0,415.48,266.48,Concluída
192,2025-07-11,1,13,914,103,1,207.74,0.0,207.74,133.24,Devolvida
193,2025-12-03,4,7,144,106,2,275.84,0.0,275.84,146.84,Concluída
194,2025-12-30,1,13,292,101,1,3176.69,0.0,3176.69,2004.75,Concluída
195,2025-01-17,1,13,972,108,4,1697.04,254.56,1442.48,766.96,Concluída
196,2025-09-08,2,3,732,103,1,207.74,10.39,197.35,133.24,Concluída
197,2025-09-14,3,6,864,114,1,440.95,0.0,440.95,271.23,Concluída
198,2025-01-11,1,13,513,101,2,6353.38,0.0,6353.38,4009.5,Concluída
199,2025-06-25,2,3,756,101,1,3176.69,0.0,3176.69,2004.75,Concluída
200,2025-08-08,1,13,747,109,1,438.81,0.0,438.81,291.96,Concluída
201,2025-05-15,5,10,683,114,1,440.95,0.0,440.95,271.23,Concluída
202,2025-02-22,3,6,626,103,1,207.74,20.77,186.97,133.24,Concluída
203,2025-03-18,1,13,411,101,1,3176.69,0.0,3176.69,2004.75,Concluída
204,2025-01-10,3,4,886,101,1,3176.69,0.0,3176.69,2004.75,Concluída
205,2025-04-29,1,13,491,101,1,3176.69,0.0,3176.69,2004.75,Concluída
206,2025-05-18,1,13,729,107,1,143.03,14.3,128.73,89.63,Concluída
207,2025-01-01,1,13,218,105,1,1347.1,134.71,1212.39,858.02,Concluída
208,2025-04-05,1,13,373,106,1,137.92,0.0,137.92,73.42,Concluída
209,2025-10-10,4,7,340,106,2,275.84,0.0,275.84,146.84,Concluída
210,2025-09-28,3,4,666,105,1,1347.1,0.0,1347.1,858.02,Concluída
211,2025-03-08,3,6,124,101,1,3176.69,317.67,2859.02,2004.75,Concluída
212,2025-04-08,1,13,948,102,1,4043.83,0.0,4043.83,1891.83,Concluída
213,2025-08-31,5,10,547,112,1,2629.26,0.0,2629.26,1399.55,Concluída
214,2025-12-31,1,13,917,106,1,137.92,6.9,131.02,73.42,Cancelada
215,2025-02-04,2,3,954,109,2,877.62,0.0,877.62,583.92,Concluída
216,2025-03-08,1,13,814,112,1,2629.26,131.46,2497.8,1399.55,Concluída
217,2025-09-30,4,7,170,108,2,848.52,0.0,848.52,383.48,Concluída
218,2025-07-25,3,4,189,101,1,3176.69,0.0,3176.69,2004.75,Concluída
219,2025-09-20,2,3,738,109,1,438.81,43.88,394.93,291.96,Concluída
220,2025-05-18,2,1,230,101,1,3176.69,0.0,3176.69,2004.75,Concluída
221,2025-05-23,5,11,895,113,1,644.98,96.75,548.23,381.24,Devolvida
222,2025-04-18,2,1,665,106,2,275.84,41.38,234.46,146.84,Concluída
223,2025-12-28,5,11,740,103,1,207.74,0.0,207.74,133.24,Concluída
224,2025-01-30,3,4,844,106,1,137.92,20.69,117.23,73.42,Concluída
225,2025-01-09,2,3,109,112,2,5258.52,0.0,5258.52,2799.1,Concluída
226,2025-11-17,3,6,212,114,1,440.95,0.0,440.95,271.23,Concluída
227,2025-11-19,4,8,160,108,1,424.26,21.21,403.05,191.74,Concluída
228,2025-09-03,1,13,471,103,2,415.48,0.0,415.48,266.48,Concluída
229,2025-04-03,3,4,318,103,3,623.22,31.16,592.06,399.72,Concluída
230,2025-04-07,1,13,437,104,1,2804.45,0.0,2804.45,1695.62,Concluída
231,2025-09-27,1,13,618,102,1,4043.83,0.0,4043.83,1891.83,Concluída
232,2025-11-26,5,10,255,113,1,644.98,0.0,644.98,381.24,Concluída
233,2025-01-07,4,7,981,113,1,644.98,32.25,612.73,381.24,Concluída
234,2025-12-29,1,13,492,113,1,644.98,0.0,644.98,381.24,Concluída
235,2025-06-19,2,1,58,109,2,877.62,0.0,877.62,583.92,Concluída
236,2025-01-23,1,13,106,109,3,1316.43,0.0,1316.43,875.88,Concluída
237,2025-04-25,1,13,395,103,1,207.74,0.0,207.74,133.24,Cancelada
238,2025-12-17,1,13,504,103,5,1038.7,0.0,1038.7,666.2,Cancelada
239,2025-05-25,1,13,122,106,3,413.76,41.38,372.38,220.26,Cancelada
240,2025-11-06,1,13,544,106,1,137.92,6.9,131.02,73.42,Concluída
241,2025-12-08,3,6,838,105,1,1347.1,0.0,1347.1,858.02,Cancelada
242,2025-12-05,1,13,831,115,2,1034.26,0.0,1034.26,582.88,Concluída
243,2025-03-18,4,7,328,103,1,207.74,10.39,197.35,133.24,Concluída
244,2025-09-02,4,7,592,107,4,572.12,0.0,572.12,358.52,Concluída
245,2025-03-07,1,13,362,106,1,137.92,0.0,137.92,73.42,Devolvida
246,2025-11-05,4,8,142,113,3,1934.94,193.49,1741.45,1143.72,Concluída
247,2025-10-09,2,3,505,109,1,438.81,0.0,438.81,291.96,Concluída
248,2025-08-04,2,3,831,112,1,2629.26,0.0,2629.26,1399.55,Concluída
249,2025-04-15,5,10,372,109,1,438.81,0.0,438.81,291.96,Concluída
250,2025-06-28,1,13,302,108,1,424.26,42.43,381.83,191.74,Devolvida
251,2025-08-04,1,13,58,112,1,2629.26,394.39,2234.87,1399.55,Concluída
252,2025-07-13,3,6,989,107,1,143.03,7.15,135.88,89.63,Concluída
253,2025-02-07,2,3,892,103,1,207.74,0.0,207.74,133.24,Concluída
254,2025-02-09,1,13,154,113,1,644.98,32.25,612.73,381.24,Concluída
255,2025-12-24,5,11,422,112,1,2629.26,131.46,2497.8,1399.55,Concluída
256,2025-05-27,1,13,903,111,1,3133.63,156.68,2976.95,1612.76,Concluída
257,2025-01-06,1,13,697,115,1,517.13,25.86,491.27,291.44,Concluída
258,2025-10-20,2,3,233,107,3,429.09,0.0,429.09,268.89,Concluída
259,2025-07-13,5,10,761,104,1,2804.45,0.0,2804.45,1695.62,Concluída
260,2025-10-14,3,4,837,112,1,2629.26,0.0,2629.26,1399.55,Concluída
261,2025-07-14,1,13,663,107,1,143.03,0.0,143.03,89.63,Concluída
262,2025-11-05,4,8,29,104,1,2804.45,0.0,2804.45,1695.62,Concluída
263,2025-11-02,1,13,193,109,1,438.81,43.88,394.93,291.96,Concluída
264,2025-02-13,5,12,46,110,5,766.75,0.0,766.75,384.1,Concluída
265,2025-02-17,5,10,366,113,1,644.98,0.0,644.98,381.24,Concluída
266,2025-07-20,3,4,720,111,1,3133.63,0.0,3133.63,1612.76,Concluída
267,2025-02-21,2,1,25,110,2,306.7,0.0,306.7,153.64,Concluída
268,2025-01-20,1,13,699,108,1,424.26,0.0,424.26,191.74,Cancelada
269,2025-04-29,5,12,670,103,2,415.48,0.0,415.48,266.48,Devolvida
270,2025-09-22,5,12,668,109,3,1316.43,0.0,1316.43,875.88,Concluída
271,2025-06-23,1,13,41,115,2,1034.26,51.71,982.55,582.88,Concluída
272,2025-11-09,3,4,581,111,5,15668.15,0.0,15668.15,8063.8,Concluída
273,2025-06-08,2,1,511,102,1,4043.83,0.0,4043.83,1891.83,Concluída
274,2025-02-04,1,13,362,102,1,4043.83,202.19,3841.64,1891.83,Concluída
275,2025-08-31,5,11,666,115,1,517.13,0.0,517.13,291.44,Concluída
276,2025-01-21,1,13,411,107,3,429.09,42.91,386.18,268.89,Concluída
277,2025-07-07,2,3,975,106,1,137.92,6.9,131.02,73.42,Concluída
278,2025-05-15,4,9,44,110,4,613.4,0.0,613.4,307.28,Concluída
279,2025-12-25,4,7,159,114,1,440.95,0.0,440.95,271.23,Concluída
280,2025-02-07,1,13,686,102,1,4043.83,0.0,4043.83,1891.83,Concluída
281,2025-08-27,1,13,750,102,3,12131.49,1213.15,10918.34,5675.49,Concluída
282,2025-04-13,2,1,325,106,5,689.6,0.0,689.6,367.1,Concluída
283,2025-09-01,1,13,40,109,1,438.81,0.0,438.81,291.96,Concluída
284,2025-06-13,2,3,793,107,1,143.03,7.15,135.88,89.63,Concluída
285,2025-08-31,1,13,889,101,4,12706.76,635.34,12071.42,8019.0,Concluída
286,2025-11-22,1,13,71,105,1,1347.1,0.0,1347.1,858.02,Concluída
287,2025-08-03,2,3,915,105,1,1347.1,0.0,1347.1,858.02,Cancelada
288,2025-08-08,1,13,169,104,1,2804.45,0.0,2804.45,1695.62,Concluída
289,2025-12-19,4,9,448,106,3,413.76,0.0,413.76,220.26,Concluída
290,2025-10-15,4,9,204,102,2,8087.66,0.0,8087.66,3783.66,Concluída
291,2025-12-07,5,12,761,114,2,881.9,0.0,881.9,542.46,Concluída
292,2025-08-23,5,11,886,106,1,137.92,20.69,117.23,73.42,Concluída
293,2025-09-24,3,5,966,114,3,1322.85,0.0,1322.85,813.69,Concluída
294,2025-10-24,1,13,764,104,1,2804.45,0.0,2804.45,1695.62,Concluída
295,2025-07-13,1,13,976,104,4,11217.8,0.0,11217.8,6782.48,Concluída
296,2025-07-06,1,13,515,114,3,1322.85,66.14,1256.71,813.69,Concluída
297,2025-08-22,2,2,361,114,1,440.95,0.0,440.95,271.23,Concluída
298,2025-02-28,5,11,439,106,1,137.92,0.0,137.92,73.42,Concluída
299,2025-07-15,1,13,650,105,2,2694.2,269.42,2424.78,1716.04,Cancelada
300,2025-02-20,5,10,92,111,1,3133.63,313.36,2820.27,1612.76,Concluída
301,2025-11-16,5,10,649,108,1,424.26,21.21,403.05,191.74,Concluída
302,2025-08-04,1,13,565,107,1,143.03,14.3,128.73,89.63,Cancelada
303,2025-06-29,5,11,423,115,2,1034.26,51.71,982.55,582.88,Concluída
304,2025-01-04,5,10,520,105,1,1347.1,67.36,1279.74,858.02,Concluída
305,2025-08-01,3,4,922,115,1,517.13,0.0,517.13,291.44,Concluída
306,2025-07-11,4,9,840,112,1,2629.26,0.0,2629.26,1399.55,Cancelada
307,2025-08-09,1,13,198,110,2,306.7,15.34,291.36,153.64,Concluída
308,2025-10-23,2,3,400,112,1,2629.26,262.93,2366.33,1399.55,Concluída
309,2025-08-12,1,13,517,102,2,8087.66,404.38,7683.28,3783.66,Concluída
310,2025-11-18,5,12,163,106,1,137.92,0.0,137.92,73.42,Concluída
311,2025-11-18,4,7,29,110,2,306.7,30.67,276.03,153.64,Concluída
312,2025-07-15,1,13,465,111,2,6267.26,0.0,6267.26,3225.52,Concluída
313,2025-04-24,1,13,744,113,2,1289.96,0.0,1289.96,762.48,Concluída
314,2025-01-27,1,13,643,101,2,6353.38,0.0,6353.38,4009.5,Concluída
315,2025-08-24,5,10,110,103,1,207.74,20.77,186.97,133.24,Concluída
316,2025-09-11,4,7,401,102,1,4043.83,0.0,4043.83,1891.83,Concluída
317,2025-11-17,1,13,385,115,1,517.13,51.71,465.42,291.44,Concluída
318,2025-04-03,1,13,676,110,2,306.7,30.67,276.03,153.64,Concluída
319,2025-06-25,5,11,629,110,1,153.35,0.0,153.35,76.82,Concluída
320,2025-03-04,1,13,549,101,1,3176.69,158.83,3017.86,2004.75,Concluída
321,2025-07-06,1,13,31,106,1,137.92,0.0,137.92,73.42,Concluída
322,2025-03-06,1,13,205,102,1,4043.83,0.0,4043.83,1891.83,Concluída
323,2025-09-11,2,2,945,104,1,2804.45,0.0,2804.45,1695.62,Concluída
324,2025-05-24,5,10,598,113,2,1289.96,0.0,1289.96,762.48,Concluída
325,2025-09-07,2,2,434,110,2,306.7,15.34,291.36,153.64,Concluída
326,2025-11-07,1,13,581,106,1,137.92,0.0,137.92,73.42,Concluída
327,2025-03-27,5,12,260,110,1,153.35,0.0,153.35,76.82,Concluída
328,2025-09-29,1,13,118,103,2,415.48,0.0,415.48,266.48,Concluída
329,2025-05-06,1,13,381,103,2,415.48,0.0,415.48,266.48,Concluída
330,2025-01-06,3,4,477,110,2,306.7,30.67,276.03,153.64,Concluída
331,2025-07-17,1,13,540,104,1,2804.45,0.0,2804.45,1695.62,Concluída
332,2025-12-10,1,13,699,113,1,644.98,32.25,612.73,381.24,Concluída
333,2025-01-26,4,8,48,105,1,1347.1,0.0,1347.1,858.02,Concluída
334,2025-06-17,3,4,591,101,1,3176.69,0.0,3176.69,2004.75,Concluída
